Berliner Fernsehturm 	1207 ft 	368 m 	1969 	Tower 	Berlin 	Berlin 	52°31′14.91″N 13°24′33.95″E 	became the tallest building in (all of) Germany since reunification
Sender Donebach 	1191 ft 	363 m 	1982 	Guyed Mast 	Mudau-Donebach 	Baden-Württemberg 	49°33′40.25″N 9°10′22.76″E  ; 49°33′33.53″N 9°10′50.82″E 	prior to the reunification, it was the tallest building in West Germany; both masts demolished on March 2, 2018
Sender Zehlendorf, new longwave transmission mast 	1180 ft 	359.7 m 	1979 	Guyed Mast 	Zehlendorf bei Oranienburg 	Brandenburg 	52°47′41.87″N 13°23′9.5″E 	
Richtfunkstelle Berlin-Frohnau 	1177 ft 	358.6 m 	1978 	Guyed Mast 	Berlin-Frohnau 	Berlin 	52°39′13.66″N 13°17′43.59″E 	demolished on February 8, 2009
VLF transmitter DHO38 	1158 ft 	352.9 m 	1982 	Guyed Mast 	Saterland-Ramsloh 	Lower Saxony 	53°05′22.15″N 07°37′06.19″E ; 53°05′14.42″N 07°36′31.14″E ; 53°04′59.81″N 07°37′09.88″E ; 53°04′52.03″N 07°36′34.69″E ; 53°04′36.16″N 07°36′58.79″E ; 53°04′30.05″N 07°36′22.87″E ; 53°04′10.66″N 07°36′41.82″E ; 53°04′16.8″N 07°37′17.66″E 	8 masts, insulated against ground
Sender Zehlendorf, old longwave transmission mast 	1152 ft 	351 m 	1962 	Guyed Mast 	Zehlendorf bei Oranienburg 	Brandenburg 	52°47′41.87″N 13°23′9.5″E 	destroyed on May 18, 1978 at aircraft collision
Sendemast SL3 	1148 ft 	350 m 	1968 	Guyed Mast 	Burg bei Magdeburg 	Saxony-Anhalt 	52°16′9.35″N 11°55′28.84″E 	collapsed on February 18, 1976
Gartow-Höhbeck transmitter, Radio mast Gartow 2 	1129 ft 	344 m 	1977/78 	Guyed Mast 	Gartow 	Lower Saxony 	53°3′55.8″N 11°26′33.9″E 	
Europaturm 	1107 ft 	337.5 m 	1979 	Tower 	Frankfurt/Main 	Hesse 	50°8′7.02″N 8°39′16.9″E 	
Chimney of Westerholt Power Station 	1107 ft 	337.5 m 	1997 	Chimney 	Gelsenkirchen 	Northrhine-Westphalia 	51°36′4.48″N 7°3′52.16″E 	demolished in 2006
Deutschlandsender Herzberg/Elster 	1106 ft 	337 m 	1939 	Guyed Mast 	Herzberg/Elster 	Brandenburg 	51°42′59.76″N 13°15′51.5″E 	insulated against ground, dismantled in 1946
Radio mast Gartow 1 	1073 ft 	327 m 	1963 	Guyed Mast 	Gartow 	Lower Saxony 	53°4′7.82″N 11°26′22.42″E 	demolished on August 20, 2009
Behren-Bokel Transmitter 	1060 ft 	323 m 	1961 	Guyed Mast 	Behren-Bekel 	Lower Saxony 	52°47′38.23″N 10°31′57.15″E 	
Longwave radio mast Burg 	1060 ft 	323 m 	1953 	Guyed Mast 	Burg bei Magdeburg 	Saxony-Anhalt 	52°17′12.93″N 11°53′50.52″E 	
